Year,2020/21
Newham 011A,135
Newham 011B,135
Newham 011C,155
Newham 011D,107
Newham 011E,159
Newham 012A,87
Newham 012B,160
Newham 012C,77
Newham 012D,128
Newham 013C,87
Newham 013E,70
Newham 013F,33
Newham 013G,392
Newham 013H,100
Newham 014A,134
Newham 014B,142
Newham 014C,102
Newham 014D,143
Newham 015A,99
Newham 015B,76
Newham 015C,83
Newham 015D,107
Newham 015E,105
Newham 016A,104
Newham 016B,121
Newham 016C,107
Newham 016D,85
Newham 017A,115
Newham 017B,130
Newham 017C,142
Newham 017D,179
Newham 018A,114
Newham 018B,143
Newham 018C,139
Newham 018D,169
Newham 018E,103
Newham 019A,149
Newham 019B,227
Newham 019C,161
Newham 019D,123
Newham 020A,85
Newham 020B,95
Newham 020C,172
Newham 020D,121
Newham 020E,171
Newham 021A,157
Newham 021B,119
Newham 021C,177
Newham 021D,83
Newham 022A,125
Newham 022B,90
Newham 022C,153
Newham 022D,205
Newham 023A,162
Newham 023B,147
Newham 023C,127
Newham 023D,168
Newham 023E,164
Newham 024A,129
Newham 024B,126
Newham 024C,150
Newham 024D,195
Newham 024E,121
Newham 025A,141
Newham 025B,153
Newham 025C,118
Newham 025D,130
Newham 026A,99
Newham 026B,101
Newham 026C,146
Newham 026D,133
Newham 027A,96
Newham 027B,123
Newham 027C,149
Newham 027D,109
Newham 028A,148
Newham 028B,125
Newham 028C,162
Newham 028D,95
Newham 029A,154
Newham 029B,221
Newham 029C,155
Newham 029D,127
Newham 030A,182
Newham 030B,182
Newham 030C,158
Newham 030D,105
Newham 031A,145
Newham 031B,133
Newham 031C,76
Newham 031D,118
Newham 032A,102
Newham 032B,87
Newham 032C,170
Newham 032D,83
Newham 032E,121
Newham 033A,96
Newham 033B,138
Newham 033C,109
Newham 033D,115
Newham 034A,91
Newham 034D,79
Newham 034F,..
Newham 034G,14
Newham 034H,58
Newham 034I,106
Newham 034J,112
Newham 035A,59
Newham 035B,74
Newham 035C,78
Newham 035D,63
Newham 036A,119
Newham 036B,122
Newham 036C,92
Newham 036D,119
Newham 036E,111
Newham 037A,197
Newham 037C,150
Newham 037E,92
Newham 037F,21
Newham 037G,108
Newham 037H,31
Southwark 001A,19
Southwark 001B,16
Southwark 001C,30
Southwark 001D,7
Southwark 001E,63
Southwark 002A,43
Southwark 002B,44
Southwark 002C,34
Southwark 002D,33
Southwark 002E,52
Southwark 003A,96
Southwark 003E,74
Southwark 003F,..
Southwark 003G,5
Southwark 003H,7
Southwark 003I,16
Southwark 003J,25
Southwark 003K,..
Southwark 004A,85
Southwark 004B,68
Southwark 004C,103
Southwark 004D,97
Southwark 004E,98
Southwark 006A,85
Southwark 006B,106
Southwark 006C,55
Southwark 006D,98
Southwark 006E,31
Southwark 006F,41
Southwark 007A,78
Southwark 007B,71
Southwark 007C,103
Southwark 007D,74
Southwark 007E,164
Southwark 008A,60
Southwark 008B,84
Southwark 008C,15
Southwark 008D,6
Southwark 008E,49
Southwark 009A,9
Southwark 009B,36
Southwark 009C,87
Southwark 009F,94
Southwark 010A,77
Southwark 010B,143
Southwark 010C,63
Southwark 010D,104
Southwark 010E,26
Southwark 011A,97
Southwark 011B,102
Southwark 011C,75
Southwark 011D,55
Southwark 012A,49
Southwark 012B,113
Southwark 012E,63
Southwark 012F,105
Southwark 013A,62
Southwark 013B,41
Southwark 013C,111
Southwark 013D,61
Southwark 013E,113
Southwark 014A,117
Southwark 014B,43
Southwark 014D,26
Southwark 014E,68
Southwark 014F,39
Southwark 014G,41
Southwark 015A,85
Southwark 015B,107
Southwark 015C,146
Southwark 015D,99
Southwark 015E,110
Southwark 016A,111
Southwark 016B,35
Southwark 016C,86
Southwark 016D,67
Southwark 016E,99
Southwark 017A,42
Southwark 017B,54
Southwark 017C,51
Southwark 017D,136
Southwark 017E,53
Southwark 018A,146
Southwark 018B,89
Southwark 018C,111
Southwark 018D,130
Southwark 018E,97
Southwark 019A,112
Southwark 019B,108
Southwark 019C,147
Southwark 019D,61
Southwark 019E,135
Southwark 020A,131
Southwark 020B,84
Southwark 020C,95
Southwark 020D,69
Southwark 020E,93
Southwark 021A,24
Southwark 021B,129
Southwark 021C,34
Southwark 021D,128
Southwark 021E,91
Southwark 021F,68
Southwark 022B,130
Southwark 022D,62
Southwark 022E,113
Southwark 022F,128
Southwark 023A,85
Southwark 023B,71
Southwark 023C,87
Southwark 023D,98
Southwark 023E,60
Southwark 024A,24
Southwark 024B,49
Southwark 024C,55
Southwark 024D,9
Southwark 024E,27
Southwark 025A,22
Southwark 025B,92
Southwark 025C,31
Southwark 025D,47
Southwark 025E,92
Southwark 026A,63
Southwark 026B,69
Southwark 026C,81
Southwark 026D,75
Southwark 026E,95
Southwark 027A,137
Southwark 027B,52
Southwark 027C,64
Southwark 027D,49
Southwark 027E,25
Southwark 028A,34
Southwark 028B,46
Southwark 028C,23
Southwark 028D,32
Southwark 028E,29
Southwark 029A,39
Southwark 029B,61
Southwark 029C,23
Southwark 029D,106
Southwark 030A,30
Southwark 030B,21
Southwark 030C,16
Southwark 030D,45
Southwark 030E,15
Southwark 031A,6
Southwark 031B,33
Southwark 031C,21
Southwark 031D,15
Southwark 031E,..
Southwark 032A,47
Southwark 032B,78
Southwark 032C,29
Southwark 032D,43
Southwark 032E,17
Southwark 033A,35
Southwark 033B,55
Southwark 033C,124
Southwark 033D,30
Southwark 033E,18
Southwark 034A,37
Southwark 034B,84
Southwark 034C,49
Southwark 034D,51
Southwark 034E,49
Tower Hamlets 001A,156
Tower Hamlets 001B,155
Tower Hamlets 001C,150
Tower Hamlets 001D,174
Tower Hamlets 002A,209
Tower Hamlets 002B,141
Tower Hamlets 002C,182
Tower Hamlets 002D,97
Tower Hamlets 003A,48
Tower Hamlets 003B,97
Tower Hamlets 003C,46
Tower Hamlets 003D,182
Tower Hamlets 003E,44
Tower Hamlets 004A,75
Tower Hamlets 004C,73
Tower Hamlets 004D,143
Tower Hamlets 004E,79
Tower Hamlets 004F,87
Tower Hamlets 004G,59
Tower Hamlets 005A,70
Tower Hamlets 005B,125
Tower Hamlets 005C,119
Tower Hamlets 005D,201
Tower Hamlets 006A,164
Tower Hamlets 006B,29
Tower Hamlets 006C,95
Tower Hamlets 006D,171
Tower Hamlets 007A,86
Tower Hamlets 007B,198
Tower Hamlets 007C,97
Tower Hamlets 007D,101
Tower Hamlets 008A,121
Tower Hamlets 008B,133
Tower Hamlets 008C,103
Tower Hamlets 008D,327
Tower Hamlets 008E,125
Tower Hamlets 009A,150
Tower Hamlets 009B,218
Tower Hamlets 009C,92
Tower Hamlets 009D,149
Tower Hamlets 010A,118
Tower Hamlets 010B,102
Tower Hamlets 010C,162
Tower Hamlets 010E,164
Tower Hamlets 010F,191
Tower Hamlets 011A,102
Tower Hamlets 011B,136
Tower Hamlets 011D,152
Tower Hamlets 011F,230
Tower Hamlets 012A,148
Tower Hamlets 012B,173
Tower Hamlets 012C,388
Tower Hamlets 012D,82
Tower Hamlets 012E,133
Tower Hamlets 013A,197
Tower Hamlets 013B,125
Tower Hamlets 013C,65
Tower Hamlets 013D,72
Tower Hamlets 014A,157
Tower Hamlets 014B,114
Tower Hamlets 014C,201
Tower Hamlets 014D,229
Tower Hamlets 014E,217
Tower Hamlets 015A,93
Tower Hamlets 015B,61
Tower Hamlets 015C,85
Tower Hamlets 015D,204
Tower Hamlets 015E,106
Tower Hamlets 016A,186
Tower Hamlets 016B,198
Tower Hamlets 016C,171
Tower Hamlets 016D,90
Tower Hamlets 017A,82
Tower Hamlets 017B,101
Tower Hamlets 017C,148
Tower Hamlets 017D,96
Tower Hamlets 018A,212
Tower Hamlets 018B,190
Tower Hamlets 018C,192
Tower Hamlets 018D,199
Tower Hamlets 019A,305
Tower Hamlets 019B,196
Tower Hamlets 019C,191
Tower Hamlets 019D,184
Tower Hamlets 020A,120
Tower Hamlets 020B,106
Tower Hamlets 020C,221
Tower Hamlets 020D,241
Tower Hamlets 021A,224
Tower Hamlets 021C,157
Tower Hamlets 021D,161
Tower Hamlets 021E,110
Tower Hamlets 021F,22
Tower Hamlets 022A,151
Tower Hamlets 022B,123
Tower Hamlets 022C,172
Tower Hamlets 022D,173
Tower Hamlets 023A,179
Tower Hamlets 023B,103
Tower Hamlets 023C,123
Tower Hamlets 023D,65
Tower Hamlets 024A,246
Tower Hamlets 024B,173
Tower Hamlets 024C,189
Tower Hamlets 024D,154
Tower Hamlets 025B,134
Tower Hamlets 025C,168
Tower Hamlets 025D,146
Tower Hamlets 025E,12
Tower Hamlets 025F,55
Tower Hamlets 026A,27
Tower Hamlets 026B,117
Tower Hamlets 026C,235
Tower Hamlets 026D,140
Tower Hamlets 027A,69
Tower Hamlets 027B,34
Tower Hamlets 027C,8
Tower Hamlets 028A,175
Tower Hamlets 028B,165
Tower Hamlets 028D,80
Tower Hamlets 028E,26
Tower Hamlets 028F,46
Tower Hamlets 028G,73
Tower Hamlets 028H,40
Tower Hamlets 028I,30
Tower Hamlets 030A,131
Tower Hamlets 030B,78
Tower Hamlets 030C,89
Tower Hamlets 030D,43
Tower Hamlets 031A,130
Tower Hamlets 031B,99
Tower Hamlets 031C,6
Tower Hamlets 031D,34
Tower Hamlets 031F,14
Tower Hamlets 031G,63
Tower Hamlets 032A,139
Tower Hamlets 032B,43
Tower Hamlets 032C,76
Tower Hamlets 032D,122
Tower Hamlets 032E,96
Tower Hamlets 033A,6
Tower Hamlets 033B,58
Tower Hamlets 033C,41
Tower Hamlets 033D,94
Wandsworth 001A,32
Wandsworth 001B,15
Wandsworth 001C,34
Wandsworth 001D,41
Wandsworth 002B,130
Wandsworth 002C,129
Wandsworth 002D,38
Wandsworth 002E,187
Wandsworth 002F,7
Wandsworth 002G,45
Wandsworth 002H,42
Wandsworth 003A,140
Wandsworth 003B,67
Wandsworth 003C,38
Wandsworth 003D,96
Wandsworth 004B,19
Wandsworth 004C,55
Wandsworth 004D,48
Wandsworth 004E,44
Wandsworth 004F,15
Wandsworth 004G,26
Wandsworth 005A,34
Wandsworth 005B,48
Wandsworth 005C,41
Wandsworth 005D,38
Wandsworth 006A,8
Wandsworth 006B,31
Wandsworth 006C,8
Wandsworth 006D,9
Wandsworth 006E,14
Wandsworth 007A,256
Wandsworth 007B,102
Wandsworth 007C,81
Wandsworth 007D,78
Wandsworth 008A,23
Wandsworth 008B,113
Wandsworth 008C,8
Wandsworth 008D,23
Wandsworth 008E,5
Wandsworth 009A,11
Wandsworth 009B,16
Wandsworth 009C,13
Wandsworth 009D,13
Wandsworth 009E,5
Wandsworth 010A,31
Wandsworth 010B,13
Wandsworth 010C,5
Wandsworth 010E,14
Wandsworth 010F,31
Wandsworth 010G,..
Wandsworth 011A,12
Wandsworth 011B,10
Wandsworth 011C,27
Wandsworth 011D,12
Wandsworth 011E,28
Wandsworth 012A,21
Wandsworth 012B,29
Wandsworth 012C,31
Wandsworth 012D,46
Wandsworth 012E,13
Wandsworth 013A,121
Wandsworth 013B,204
Wandsworth 013C,95
Wandsworth 013D,89
Wandsworth 014A,25
Wandsworth 014B,47
Wandsworth 014C,47
Wandsworth 014D,13
Wandsworth 014E,20
Wandsworth 015A,24
Wandsworth 015B,11
Wandsworth 015C,25
Wandsworth 015D,12
Wandsworth 015E,7
Wandsworth 016A,71
Wandsworth 016B,45
Wandsworth 016C,88
Wandsworth 016D,30
Wandsworth 016E,116
Wandsworth 017A,7
Wandsworth 017B,..
Wandsworth 017C,5
Wandsworth 017D,45
Wandsworth 017E,8
Wandsworth 018A,20
Wandsworth 018B,54
Wandsworth 018C,146
Wandsworth 018D,36
Wandsworth 019A,21
Wandsworth 019B,16
Wandsworth 019C,17
Wandsworth 019D,26
Wandsworth 019E,17
Wandsworth 019F,19
Wandsworth 020A,36
Wandsworth 020B,6
Wandsworth 020C,15
Wandsworth 020D,7
Wandsworth 020E,6
Wandsworth 020F,12
Wandsworth 021A,8
Wandsworth 021B,30
Wandsworth 021C,14
Wandsworth 021D,6
Wandsworth 021E,5
Wandsworth 022A,74
Wandsworth 022B,113
Wandsworth 022C,78
Wandsworth 022D,107
Wandsworth 023A,123
Wandsworth 023B,195
Wandsworth 023C,112
Wandsworth 023D,59
Wandsworth 024A,83
Wandsworth 024B,12
Wandsworth 024C,10
Wandsworth 024D,36
Wandsworth 024E,30
Wandsworth 025A,28
Wandsworth 025B,24
Wandsworth 025C,21
Wandsworth 025D,12
Wandsworth 025E,11
Wandsworth 026A,12
Wandsworth 026B,9
Wandsworth 026C,15
Wandsworth 026D,26
Wandsworth 026E,21
Wandsworth 026F,17
Wandsworth 027A,5
Wandsworth 027B,14
Wandsworth 027C,8
Wandsworth 027D,11
Wandsworth 027E,7
Wandsworth 027F,6
Wandsworth 028A,35
Wandsworth 028B,28
Wandsworth 028C,25
Wandsworth 028D,59
Wandsworth 028E,54
Wandsworth 029A,23
Wandsworth 029B,9
Wandsworth 029C,40
Wandsworth 029D,15
Wandsworth 030A,24
Wandsworth 030B,25
Wandsworth 030C,20
Wandsworth 030D,37
Wandsworth 031A,6
Wandsworth 031B,42
Wandsworth 031C,40
Wandsworth 031D,8
Wandsworth 032A,20
Wandsworth 032B,36
Wandsworth 032C,50
Wandsworth 032D,23
Wandsworth 033A,50
Wandsworth 033B,31
Wandsworth 033C,36
Wandsworth 033D,32
Wandsworth 034A,33
Wandsworth 034B,96
Wandsworth 034C,21
Wandsworth 034D,74
Wandsworth 035A,61
Wandsworth 035B,40
Wandsworth 035C,19
Wandsworth 035D,67
Wandsworth 035E,34
Wandsworth 035F,23
Wandsworth 036A,37
Wandsworth 036B,26
Wandsworth 036C,55
Wandsworth 036D,48
Wandsworth 036E,44
Wandsworth 037A,67
Wandsworth 037B,66
Wandsworth 037C,47
Wandsworth 037D,98
Westminster 001A,20
Westminster 001B,11
Westminster 001C,24
Westminster 001D,18
Westminster 002A,26
Westminster 002B,14
Westminster 002C,5
Westminster 002D,55
Westminster 002E,70
Westminster 003A,5
Westminster 003B,33
Westminster 003C,6
Westminster 003D,15
Westminster 003E,19
Westminster 004A,76
Westminster 004B,76
Westminster 004C,108
Westminster 004D,76
Westminster 004E,197
Westminster 005A,104
Westminster 005B,94
Westminster 005C,42
Westminster 005D,68
Westminster 005E,88
Westminster 005F,68
Westminster 006A,29
Westminster 006B,8
Westminster 006C,5
Westminster 006D,20
Westminster 006E,37
Westminster 007A,8
Westminster 007B,14
Westminster 007D,9
Westminster 007E,47
Westminster 007F,5
Westminster 007G,10
Westminster 008A,16
Westminster 008B,11
Westminster 008C,20
Westminster 008D,10
Westminster 009A,229
Westminster 009E,113
Westminster 009F,93
Westminster 009G,83
Westminster 009H,81
Westminster 009I,29
Westminster 009J,32
Westminster 009K,72
Westminster 010A,114
Westminster 010B,95
Westminster 010C,109
Westminster 010F,223
Westminster 010G,68
Westminster 011A,5
Westminster 011B,5
Westminster 011C,..
Westminster 011D,5
Westminster 011E,10
Westminster 012A,..
Westminster 012B,5
Westminster 012C,27
Westminster 012D,7
Westminster 012E,18
Westminster 013A,38
Westminster 013B,17
Westminster 013D,40
Westminster 013E,8
Westminster 013F,30
Westminster 014A,14
Westminster 014B,12
Westminster 014D,27
Westminster 014E,73
Westminster 014F,11
Westminster 014G,5
Westminster 015A,5
Westminster 015B,11
Westminster 015C,16
Westminster 015E,30
Westminster 015F,33
Westminster 015G,24
Westminster 016A,8
Westminster 016B,12
Westminster 016C,12
Westminster 016D,17
Westminster 016E,6
Westminster 017A,13
Westminster 017B,5
Westminster 017C,13
Westminster 017D,54
Westminster 017E,5
Westminster 017F,13
Westminster 018A,23
Westminster 018B,30
Westminster 018C,..
Westminster 018D,..
Westminster 019A,..
Westminster 019B,5
Westminster 019C,..
Westminster 019D,10
Westminster 019E,..
Westminster 019F,5
Westminster 020A,9
Westminster 020B,38
Westminster 020C,12
Westminster 020D,13
Westminster 020E,11
Westminster 021A,39
Westminster 021B,65
Westminster 021C,33
Westminster 021D,51
Westminster 021E,35
Westminster 022A,14
Westminster 022B,47
Westminster 022C,7
Westminster 022D,33
Westminster 022E,27
Westminster 023B,31
Westminster 023C,41
Westminster 023D,44
Westminster 023E,34
Westminster 023F,19
Westminster 023G,68
Westminster 024A,73
Westminster 024B,74
Westminster 024C,35
Westminster 024D,20
Westminster 024E,5
Westminster 024F,22
Barking and Dagenham 001A,152
Barking and Dagenham 001B,150
Barking and Dagenham 001C,87
Barking and Dagenham 001D,232
Barking and Dagenham 002A,127
Barking and Dagenham 002B,98
Barking and Dagenham 002C,69
Barking and Dagenham 002D,131
Barking and Dagenham 002E,104
Barking and Dagenham 002F,76
Barking and Dagenham 003A,106
Barking and Dagenham 003B,60
Barking and Dagenham 003C,67
Barking and Dagenham 003D,64
Barking and Dagenham 004A,81
Barking and Dagenham 004B,115
Barking and Dagenham 004C,132
Barking and Dagenham 004D,203
Barking and Dagenham 004E,193
Barking and Dagenham 006A,102
Barking and Dagenham 006B,182
Barking and Dagenham 006C,276
Barking and Dagenham 006D,94
Barking and Dagenham 006E,153
Barking and Dagenham 007A,112
Barking and Dagenham 007B,130
Barking and Dagenham 007C,128
Barking and Dagenham 007D,134
Barking and Dagenham 007E,122
Barking and Dagenham 007F,132
Barking and Dagenham 007G,115
Barking and Dagenham 008A,150
Barking and Dagenham 008B,125
Barking and Dagenham 008C,351
Barking and Dagenham 008D,113
Barking and Dagenham 008E,143
Barking and Dagenham 008F,151
Barking and Dagenham 009A,181
Barking and Dagenham 009B,135
Barking and Dagenham 009C,128
Barking and Dagenham 009D,120
Barking and Dagenham 009E,113
Barking and Dagenham 010A,117
Barking and Dagenham 010B,82
Barking and Dagenham 010C,95
Barking and Dagenham 010D,84
Barking and Dagenham 011A,186
Barking and Dagenham 011B,185
Barking and Dagenham 011C,124
Barking and Dagenham 011D,134
Barking and Dagenham 011E,136
Barking and Dagenham 012A,95
Barking and Dagenham 012B,136
Barking and Dagenham 012C,132
Barking and Dagenham 012D,116
Barking and Dagenham 012E,152
Barking and Dagenham 013A,111
Barking and Dagenham 013B,99
Barking and Dagenham 013C,118
Barking and Dagenham 013D,113
Barking and Dagenham 013E,114
Barking and Dagenham 013F,95
Barking and Dagenham 014A,97
Barking and Dagenham 014B,170
Barking and Dagenham 014C,182
Barking and Dagenham 014D,190
Barking and Dagenham 015A,181
Barking and Dagenham 015B,167
Barking and Dagenham 015C,206
Barking and Dagenham 015D,202
Barking and Dagenham 016A,105
Barking and Dagenham 016B,123
Barking and Dagenham 016C,166
Barking and Dagenham 016D,133
Barking and Dagenham 016E,117
Barking and Dagenham 017A,153
Barking and Dagenham 017B,114
Barking and Dagenham 017C,156
Barking and Dagenham 017D,118
Barking and Dagenham 017E,161
Barking and Dagenham 018A,113
Barking and Dagenham 018B,109
Barking and Dagenham 018C,144
Barking and Dagenham 018D,100
Barking and Dagenham 018E,143
Barking and Dagenham 019A,144
Barking and Dagenham 019B,128
Barking and Dagenham 019C,114
Barking and Dagenham 019D,145
Barking and Dagenham 019E,435
Barking and Dagenham 020A,105
Barking and Dagenham 020B,112
Barking and Dagenham 020C,141
Barking and Dagenham 020D,129
Barking and Dagenham 020E,87
Barking and Dagenham 021B,96
Barking and Dagenham 021C,263
Barking and Dagenham 021D,68
Barking and Dagenham 021E,184
Barking and Dagenham 021F,132
Barking and Dagenham 022A,193
Barking and Dagenham 022B,197
Barking and Dagenham 022C,125
Barking and Dagenham 022D,202
Barking and Dagenham 023A,144
Barking and Dagenham 023B,144
Barking and Dagenham 023C,122
Barking and Dagenham 023D,185
Barking and Dagenham 023E,155
Barking and Dagenham 023F,108
Barnet 001A,14
Barnet 001B,15
Barnet 001C,53
Barnet 001D,14
Barnet 001E,37
Barnet 001F,13
Barnet 002A,51
Barnet 002B,13
Barnet 002C,34
Barnet 002D,41
Barnet 002E,19
Barnet 003A,25
Barnet 003B,27
Barnet 003C,27
Barnet 003D,44
Barnet 004A,39
Barnet 004B,52
Barnet 004C,35
Barnet 004D,103
Barnet 004E,54
Barnet 004F,18
Barnet 005A,12
Barnet 005B,53
Barnet 005C,14
Barnet 005D,27
Barnet 006A,62
Barnet 006B,70
Barnet 006C,53
Barnet 006D,38
Barnet 006E,10
Barnet 007A,65
Barnet 007B,13
Barnet 007C,16
Barnet 007D,7
Barnet 007E,67
Barnet 007F,32
Barnet 008A,9
Barnet 008B,5
Barnet 008C,25
Barnet 008D,33
Barnet 008E,12
Barnet 009A,17
Barnet 009B,39
Barnet 009C,27
Barnet 009D,19
Barnet 009E,20
Barnet 010A,23
Barnet 010B,41
Barnet 010C,64
Barnet 010D,41
Barnet 010E,67
Barnet 011A,85
Barnet 011B,10
Barnet 011C,59
Barnet 011D,34
Barnet 011E,43
Barnet 012A,31
Barnet 012B,40
Barnet 012C,5
Barnet 012D,22
Barnet 012E,49
Barnet 013A,128
Barnet 013B,83
Barnet 013C,73
Barnet 013D,52
Barnet 013E,52
Barnet 013F,59
Barnet 014A,63
Barnet 014B,56
Barnet 014C,41
Barnet 014D,92
Barnet 014E,57
Barnet 014F,29
Barnet 015A,35
Barnet 015B,33
Barnet 015C,42
Barnet 015D,37
Barnet 015E,30
Barnet 015F,52
Barnet 016A,40
Barnet 016B,38
Barnet 016C,7
Barnet 016D,49
Barnet 017A,53
Barnet 017B,61
Barnet 017C,14
Barnet 017D,108
Barnet 018A,61
Barnet 018B,60
Barnet 018C,94
Barnet 018D,137
Barnet 018E,58
Barnet 019A,45
Barnet 019B,38
Barnet 019C,30
Barnet 019D,24
Barnet 019E,31
Barnet 019F,56
Barnet 020A,14
Barnet 020B,6
Barnet 020C,12
Barnet 020D,20
Barnet 020E,25
Barnet 021A,95
Barnet 021B,149
Barnet 021C,145
Barnet 021D,26
Barnet 021E,116
Barnet 022A,34
Barnet 022B,35
Barnet 022C,85
Barnet 022D,84
Barnet 022E,60
Barnet 022F,89
Barnet 023A,34
Barnet 023B,9
Barnet 023C,20
Barnet 023D,43
Barnet 024A,154
Barnet 024B,100
Barnet 024C,117
Barnet 024D,107
Barnet 024E,100
Barnet 024F,83
Barnet 025A,46
Barnet 025B,15
Barnet 025C,19
Barnet 025D,58
Barnet 025E,66
Barnet 026A,156
Barnet 026B,195
Barnet 026C,153
Barnet 026D,123
Barnet 026E,138
Barnet 027A,52
Barnet 027B,22
Barnet 027C,115
Barnet 027D,42
Barnet 027E,46
Barnet 027F,18
Barnet 028A,32
Barnet 028B,28
Barnet 028C,6
Barnet 028D,33
Barnet 028E,30
Barnet 029A,22
Barnet 029B,20
Barnet 029C,54
Barnet 029D,12
Barnet 029E,12
Barnet 029F,79
Barnet 030A,92
Barnet 030B,139
Barnet 030D,147
Barnet 030E,120
Barnet 030F,50
Barnet 031A,63
Barnet 031B,50
Barnet 031C,33
Barnet 031D,43
Barnet 032A,45
Barnet 032B,37
Barnet 032C,40
Barnet 032D,33
Barnet 032E,82
Barnet 032F,48
Barnet 033A,14
Barnet 033B,6
Barnet 033C,11
Barnet 033D,12
Barnet 033E,14
Barnet 033F,..
Barnet 034A,43
Barnet 034B,63
Barnet 034C,29
Barnet 034D,41
Barnet 035A,10
Barnet 035B,6
Barnet 035C,42
Barnet 035D,6
Barnet 035E,39
Barnet 035F,62
Barnet 036A,86
Barnet 036B,39
Barnet 036C,34
Barnet 036D,95
Barnet 036E,76
Barnet 036F,96
Barnet 037A,28
Barnet 037B,64
Barnet 037C,72
Barnet 037D,58
Barnet 037E,55
Barnet 037F,77
Barnet 038A,26
Barnet 038B,11
Barnet 038C,27
Barnet 038D,21
Barnet 038E,11
Barnet 039A,56
Barnet 039B,111
Barnet 039C,102
Barnet 039D,91
Barnet 040A,57
Barnet 040B,50
Barnet 040C,55
Barnet 040D,61
Barnet 041A,75
Barnet 041B,13
Barnet 041C,33
Barnet 041D,89
Bexley 001A,138
Bexley 001B,76
Bexley 001C,234
Bexley 001D,69
Bexley 002A,90
Bexley 002B,101
Bexley 002C,74
Bexley 002D,103
Bexley 002E,116
Bexley 002F,81
Bexley 003A,74
Bexley 003B,122
Bexley 003C,137
Bexley 003D,80
Bexley 003E,63
Bexley 004A,97
Bexley 004B,136
Bexley 004C,84
Bexley 004D,106
Bexley 005A,47
Bexley 005B,62
Bexley 005C,124
Bexley 005D,32
Bexley 006A,49
Bexley 006B,65
Bexley 006C,25
Bexley 006D,48
Bexley 006E,43
Bexley 007A,44
Bexley 007B,71
Bexley 007C,56
Bexley 007D,24
Bexley 007E,87
Bexley 008A,35
Bexley 008B,68
Bexley 008C,104
Bexley 008D,55
Bexley 008E,108
Bexley 008F,160
Bexley 008G,127
Bexley 009A,32
Bexley 009B,30
Bexley 009C,22
Bexley 009D,23
Bexley 009E,61
Bexley 009F,52
Bexley 009G,29
Bexley 010A,113
Bexley 010B,98
Bexley 010C,65
Bexley 010D,39
Bexley 010E,74
Bexley 011A,17
Bexley 011B,43
Bexley 011C,22
Bexley 011D,41
Bexley 011E,44
Bexley 013A,77
Bexley 013B,27
Bexley 013C,51
Bexley 013D,46
Bexley 013E,23
Bexley 014A,22
Bexley 014B,46
Bexley 014C,46
Bexley 014D,26
Bexley 014E,38
Bexley 015A,65
Bexley 015B,40
Bexley 015C,42
Bexley 015D,35
Bexley 015E,30
Bexley 016A,31
Bexley 016B,65
Bexley 016C,28
Bexley 016D,41
Bexley 016E,65
Bexley 016F,21
Bexley 017A,33
Bexley 017B,40
Bexley 017C,54
Bexley 017D,46
Bexley 017E,74
Bexley 018A,34
Bexley 018B,30
Bexley 018C,37
Bexley 018D,42
Bexley 018E,60
Bexley 018F,43
Bexley 019A,111
Bexley 019B,89
Bexley 019C,81
Bexley 019D,23
Bexley 019E,85
Bexley 019F,71
Bexley 020A,22
Bexley 020B,33
Bexley 020C,34
Bexley 020D,35
Bexley 020E,26
Bexley 020F,28
Bexley 020G,46
Bexley 021A,36
Bexley 021B,52
Bexley 021C,22
Bexley 021D,35
Bexley 021E,46
Bexley 022A,26
Bexley 022B,26
Bexley 022C,41
Bexley 022D,32
Bexley 022E,9
Bexley 023A,41
Bexley 023B,22
Bexley 023C,32
Bexley 023D,5
